Chinelux;Venderinklanden;63;POLYGON((258671.605599645 468735.613088457,258670.478006457 468745.276026701,258676.155999098 468745.948128206,258678.703019789 468747.202947116,258678.703301055 468747.203085783,258682.59094 468738.816975,258682.59094028 468738.816974393,258677.366028645 468736.30700288,258671.605912738 468735.613126139,258671.605599645 468735.613088457));POLYGON((258672.774867944 468737.619880821,258671.822679584 468745.183993961,258680.003207411 468746.147861887,258684.031749109 468738.717440533,258672.774867944 468737.619880821));POINT(258676.6 468741.53)
Heukers H;Shackletonstraat;89;POLYGON((262776.422745382 470390.977012295,262776.42396 470390.9769,262788.840008913 470389.800582547,262788.15005377 470382.380976639,262787.94397014 470380.166101246,262787.311009799 470373.363852189,262786.65090825 470366.270074077,262786.445063539 470364.063974978,262785.776910418 470356.882123331,262773.361050631 470358.055048746,262774.043921167 470365.397127489,262774.767041603 470373.170152531,262774.890092891 470374.498096606,262775.558930914 470381.68905107,262775.753968519 470383.788878964,262776.422745382 470390.977012295));POLYGON((262787.934674904 470372.462430736,262776.343329383 470373.558339767,262777.083158868 470390.870417962,262788.683385132 470390.375325385,262787.934674904 470372.462430736));POINT(262782.5 470381.3)
Steenwelle Bouwbedrijf;Haagsebosweg;31;POLYGON((262079.842966369 475700.759947757,262087.737951635 475693.741899028,262082.688986319 475688.06089719,262078.195937906 475692.055146286,262076.127089851 475689.726848044,262069.372911313 475695.731871932,262076.490947675 475703.739873884,262079.842966369 475700.759947757));POLYGON((262070.637308301 475700.724459165,262078.26330338 475707.810806031,262083.746200721 475701.944419476,262081.088029883 475699.469630083,262087.388385468 475692.684615333,262082.42069063 475688.066911697,262071.648158455 475699.657029873,262070.637308301 475700.724459165));POINT(262078.092 475696.874)
DVO 83 Tafeltennis Vereniging;Het Stroink;62;POLYGON((258491.629989318 467809.706971098,258481.351061557 467802.555024155,258480.121018556 467801.697997541,258478.298957978 467800.431153038,258467.753922152 467793.09297664,258465.653098761 467791.631126387,258463.173931087 467795.193123093,258464.360036871 467796.018946876,258465.274977469 467796.654973345,258457.957069373 467807.170996432,258475.898912338 467819.656851544,258476.941037523 467818.159896116,258482.873891922 467822.289022993,258491.629989318 467809.706971098));POLYGON((258458.504921308 467808.570822132,258476.04668475 467820.704784631,258477.40287391 467818.728858501,258484.078519324 467823.317916562,258494.159200477 467808.726431839,258467.954777939 467790.637945124,258459.813157454 467802.413805732,258461.81215299 467803.791668117,258458.504921308 467808.570822132));POINT(258472.668 467808.043)
Asbreuk Drukkerij;Van Alphenstraat;10;POLYGON((258189.2530879 471786.733302088,258185.44502 471788.08495,258179.24905 471790.2839,258182.14291 471798.67215,258185.739297974 471808.912621534,258187.806891076 471814.799950884,258187.806918124 471814.800032705,258191.135100973 471824.587165711,258191.186966834 471824.56912887,258189.329028575 471819.227097452,258193.408078015 471817.862097029,258191.76495986 471805.627146765,258191.520927917 471805.711978965,258189.962912737 471801.28612256,258190.833916117 471800.938049323,258189.2530879 471786.733302088));POLYGON((258191.021926752 471802.686023326,258185.542372958 471803.964890071,258189.130414704 471816.196981182,258192.77746862 471816.193340675,258191.021926752 471802.686023326));POINT(258190.164 471812.067)
Lampenpaleis Enschede BV;Stadsgravenstraat;67;POLYGON((258194.97001 471414.723975,258192.66909 471412.328075,258191.32198 471411.234125,258187.3531 471408.0059,258189.61906 471405.1199,258182.30805 471398.51915,258177.11994 471393.58305,258177.119939079 471393.583050974,258178.145967323 471394.57105133,258178.04891043 471394.671150459,258178.09905158 471394.71892631,258167.752963668 471405.310025734,258168.996131027 471407.723481902,258171.25793 471412.110975,258178.424039276 471425.717098625,258184.570089684 471423.263031557,258184.5701 471423.263025,258194.97001 471414.723975));POLYGON((258183.156122276 471427.056130659,258190.306370964 471423.904278937,258193.851018986 471407.061775349,258173.69315122 471400.443225063,258171.02580304 471403.392684304,258183.156122276 471427.056130659));POINT(258178.242 471411.912)
Sirtaki Grieks Specialiteiten Restaurant;Walstraat;48;POLYGON((257983.523341721 471338.878607012,257983.45902 471339.51605,257970.796386502 471337.514247349,257969.199943318 471348.160073297,257982.784889887 471350.266073268,257984.479073012 471339.025950177,257983.523341721 471338.878607012));POLYGON((257965.940172171 471361.450246211,257972.974831882 471362.814897873,257978.801643595 471362.406160225,257992.287089557 471357.809870726,257993.613845327 471356.512813198,257994.244217302 471355.502609931,257997.712234555 471346.095106536,257998.13056904 471342.748273212,257994.230170287 471336.325590387,257982.012499034 471336.320025008,257981.43022558 471339.223317483,257970.100920842 471337.475010092,257965.940172171 471361.450246211));POINT(257976.41 471343.8)
Zaak in Orde;Meester Oude Groenstraat;7;POLYGON((250700.638049047 469462.581900092,250700.63805 469462.5819,250707.275443272 469461.901254065,250713.49895973 469461.263046564,250712.997102249 469456.745875288,250710.253889178 469457.0270034,250709.605056646 469451.185121421,250707.811061095 469451.369073181,250706.538928516 469450.243923617,250705.161918427 469451.800999049,250702.611911248 469452.062949923,250700.020961303 469453.668127728,250695.989058561 469454.080876358,250696.470910551 469458.780048221,250700.172993474 469458.400127072,250700.638049047 469462.581900092));POLYGON((250695.201692076 469453.310666927,250697.284963593 469463.435397586,250712.109945727 469460.370359989,250710.025993307 469450.282362573,250695.201692076 469453.310666927));POINT(250703.579 469456.278)
JoRi Nails;Wethouder Nijhuisstraat;81;POLYGON((255733.342581799 470676.007086186,255733.34211 470676.0071,255718.714149123 470676.324854322,255718.787942156 470681.429078068,255726.477066783 470681.222046725,255726.440958147 470678.724100012,255733.378913238 470678.537878521,255738.377036575 470678.403972343,255738.340927939 470675.898873986,255733.342581799 470676.007086186));POLYGON((255717.960153549 470682.398630219,255724.553174837 470681.607314383,255724.549601222 470673.455632671,255717.960330817 470673.456452166,255717.960153549 470682.398630219));POINT(255721.36 470678.5)
Schokker Totaalonderhoud;Mastbos;13;POLYGON((256104.260764475 469517.593672235,256105.80296 469521.8411,256109.371883788 469531.910045656,256109.436040077 469531.8868482,256107.636979443 469526.911103615,256111.400010622 469525.54090272,256109.244912781 469519.621021627,256113.538063916 469518.058799589,256109.952483502 469508.189153875,256109.939052334 469508.194024,256104.701030353 469510.100152236,256107.536928098 469517.898853115,256104.744043751 469518.907975612,256104.267941746 469517.591077563,256104.260764475 469517.593672235));POLYGON((256113.219854104 469516.824610547,256110.135053862 469509.880820855,256107.471180037 469510.801441466,256109.954247195 469517.953184946,256113.219854104 469516.824610547));POINT(256109.67 469515.095)
Oorbeck VOF;Gerinkhoekweg;31;POLYGON((252202.949979848 472157.754903593,252211.401097045 472151.567871154,252200.098902778 472136.131023015,252182.252969894 472149.197977101,252190.423030655 472160.35912151,252187.594029708 472162.430024269,252189.607910447 472165.181153526,252182.689052954 472170.246922817,252190.627043653 472181.089898694,252187.792061765 472183.166001924,252190.144960708 472186.379925393,252191.119009884 472187.711126731,252193.617960058 472185.882026005,252213.100106335 472171.621026057,252202.949979848 472157.754903593));POLYGON((252204.967646277 472159.071970598,252190.254224458 472159.511859872,252193.913167128 472164.49273119,252185.511008642 472170.647241879,252195.819069579 472184.682312477,252213.994211172 472171.340919868,252204.967646277 472159.071970598));POINT(252197.517 472170.242)
Haast Bertine;Kerkstraat;33;POLYGON((263382.469077557 471039.983097113,263389.24102 471041.779975,263389.01401 471042.610025,263397.12197 471044.88795,263397.35197 471043.9149,263401.648932506 471045.047816385,263402.730056118 471040.989901986,263398.288988532 471039.810151449,263390.30408209 471037.672948647,263389.874903791 471039.29892834,263383.105999873 471037.499071309,263382.469077557 471039.983097113));POLYGON((263388.495891519 471042.478284831,263401.128617852 471046.845058943,263402.58725326 471041.438630712,263389.718198232 471037.959586758,263388.495891519 471042.478284831));POINT(263398.921 471042.377)
All Risk Enschede BV/Fidak Financiële Dienstverlening;Oldenzaalsestraat;233;POLYGON((258488.807820962 472493.00984524,258494.904941468 472488.756004528,258491.302009176 472483.603146999,258485.198040936 472487.847002817,258488.807820962 472493.00984524));POLYGON((258489.438349795 472492.52043367,258496.89414823 472487.346429299,258491.68510961 472480.132790423,258484.342575922 472485.441443397,258489.438349795 472492.52043367));POINT(258490.26 472488.15)
Wood Dude;C.J. Snuifstraat;15;MULTIPOLYGON(((258783.68997 471479.8569,258767.83308 471477.201,258767.833078637 471477.200999783,258767.436098877 471479.804897754,258773.250959109 471480.728877457,258772.870082283 471483.229101865,258782.941086737 471484.801125667,258783.511668865 471481.034072484,258783.68997 471479.8569)),((258766.770718722 471477.031586435,258764.60894 471476.68685,258764.608938055 471476.686849586,258764.608937607 471476.68685251,258766.770718722 471477.031586435)));POLYGON((258768.367185888 471481.261904921,258773.748264662 471482.323942796,258773.213246797 471485.001456629,258782.917462161 471486.919644865,258784.477005424 471479.008644338,258769.403709159 471476.040911515,258768.367185888 471481.261904921));POINT(258779.499 471481.66)
KTA (Kuipers Technisch Advies);Priamoslaan;7;POLYGON((263253.316055652 469849.494109288,263250.73709 469848.0579,263250.737089823 469848.057899902,263248.895941128 469851.016050099,263247.713052788 469850.267898908,263245.106923517 469854.390853709,263245.106606938 469854.391354744,263253.570717064 469859.728321411,263253.570918453 469859.728003214,263256.62002758 469854.90890194,263251.81510217 469851.858128343,263253.316055652 469849.494109288));POLYGON((263253.037371264 469849.437805975,263249.159489009 469847.564315166,263244.793945572 469853.762839687,263252.273959994 469859.334499323,263254.998315564 469854.054808669,263251.866982851 469852.307636485,263253.037371264 469849.437805975));POINT(263250.78 469854.431)
Bever Zwerfsport BV;Haaksbergerstraat;116;POLYGON((257654.01806 470891.70895,257637.334488537 470898.18752855,257638.81390992 470901.943850387,257636.57394006 470902.813874199,257636.74390709 470912.753998783,257640.78409236 470925.499853596,257643.533971274 470934.174097318,257648.493923307 470933.344052631,257648.584083402 470933.564073207,257659.133953358 470931.723926456,257668.203082526 470928.177849724,257668.207016558 470928.176315248,257654.01806 470891.70895));POLYGON((257636.053969085 470903.138502477,257638.011030332 470915.974768348,257643.816060455 470934.256445456,257658.822178183 470931.976356542,257668.480620514 470928.17056087,257654.003344067 470891.290370533,257637.367644294 470897.824454644,257639.013121139 470901.986992655,257636.053969085 470903.138502477));POINT(257652.39 470912.63)
Hoogland Cafetaria Het;Madioenstraat;45;POLYGON((258714.347044193 470255.426874218,258714.34704 470255.426875,258710.889619593 470256.101259461,258709.839960002 470256.306000337,258709.867928408 470260.927357754,258709.897003016 470265.731000032,258714.34105709 470265.690049303,258714.340676026 470265.711305896,258722.28089 470265.616925,258730.364011007 470265.699667964,258730.312032714 470256.349874408,258727.098929533 470256.379126067,258727.094103368 470255.312153298,258714.347044193 470255.426874218));POLYGON((258719.17284942 470264.190253506,258731.852779707 470264.744645077,258731.992194407 470254.917125429,258710.772585871 470254.632276463,258710.712268181 470259.568692969,258719.240440864 470259.692042532,258719.17284942 470264.190253506));POINT(258725.08 470259.98)
Bouwbedrijf Wermer;James Rossstraat;66;POLYGON((262795.745768993 470410.03874369,262804.418292469 470409.205007606,262804.3570018 470408.550953628,262803.831913421 470402.947950905,262795.156076906 470403.7529728,262795.683012926 470409.369952289,262795.745768993 470410.03874369));POLYGON((262794.984358508 470409.893241831,262803.968457801 470409.063165011,262803.428476806 470401.159674669,262794.429800701 470401.77258271,262794.984358508 470409.893241831));POINT(262799.94 470406.379)
